outreach_status,County,Organization,Type,Phone,Email,Address,Website,Who to talk to / contact,Source URL,Notes,Priority,Suggested Contact,Personalized Outreach Angle,Email Draft,Recommended Outreach Channel,Follow-up Timing,Organization Segment,Likely Animal-Welfare Pain Point,VolunteerReady Feature Fit,Best Plan / Pricing Angle,Tailored Subject Line,Tailored Email Draft,Short Phone Script,LinkedIn/DM Blurb
skip_no_email,San Joaquin,Animal Protection League / City of Stockton Animal Services partner,nonprofit animal welfare/rescue-support organization,(209) 949-2100 admin; (209) 420-4776 clinic/vet,unknown,unknown,http://www.apl209.org,General contact,https://communityconnectionssjc.org/programs/details/animal-protection-league-city-of-stockton-animal-services/,Official site access-blocked; directory source used,Medium,General contact,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Phone first; ask for volunteer/foster/rescue coordinator email,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Shelter support / TNR / community animal welfare,"TNR/community volunteers, transport, shelter support tasks, event staffing, and keeping records out of spreadsheets.","Structured volunteer signups, role-specific screening, event/task shifts, attendance logs, and portable credentials.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",(No public email - phone first; see Short Phone Script),"No public email address found. Use the Short Phone Script to reach the volunteer/foster coordinator, ask for a direct email, then send the matching segment template.","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Animal Protection League / City of Stockton Animal Services partner handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Animal Protection League / City of Stockton Animal Services partner coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,Sacramento County Bradshaw Animal Shelter / Animal Care Services,municipal/county shelter,(916) 368-7387; live operator 311 or (916) 875-4311,CountyAnimalCare@SacCounty.gov; foster@saccounty.gov; rescue@saccounty.gov,"3839 Bradshaw Road, Sacramento, CA 95827",https://animalcare.saccounty.gov/,"Annette Bedsworth, Shelter Director, (916) 875-5051; Jason Smith, Shelter Assistant Director, (916) 875-2954; Foster Team; Rescue Team",https://animalcare.saccounty.gov/us/en/contact-us.html,,High,"Annette Bedsworth, Shelter Director, (916) 875-5051; Jason Smith, Shelter Assistant Director, (916) 875-2954; Foster Team; Rescue Team",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",Cutting volunteer admin at Bradshaw,"Hi Annette,

I'm Jason, founder of VolunteerReady. A shelter the size of Bradshaw moves a lot of volunteers, fosters, and event help, and most of that coordination still runs across inboxes, texts, and spreadsheets.

VolunteerReady pulls intake, scheduling, and attendance into one place so your staff spends less time chasing it down.

There's a free plan to start (no credit card), and I'll set you up myself. Could I get 15 minutes to hear how your team handles volunteers and fosters today?

Here's my calendar: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Bradshaw handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Sacramento County Bradshaw Animal Shelter / Animal Care Services coordinate volunteers/fosters. Open to a quick 15-minute chat?"
phone_first,Sacramento,Front Street Animal Shelter / City of Sacramento Animal Care Services,municipal shelter,311 within Sacramento city limits; (916) 808-7387; outside city limits (916) 808-5011,via City of Sacramento 311 Call Center; direct public email unknown,"2127 Front Street, Sacramento, CA 95818",https://www.cityofsacramento.gov/community-development/animal-care,General contact through 311 Call Center,https://www.cityofsacramento.gov/community-development/animal-care/contact-us,,High,General contact through 311 Call Center,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Phone first; ask for volunteer/foster/rescue coordinator email,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Municipal/county shelter,"High-volume volunteer, foster, rescue-partner coordination, applications buried in inboxes, shift scheduling, documentation, and background-check tracking.","Application queue, auto-scored screening, foster/rescue-team workflows, shift capacity, attendance, audit logs, and Pro background-check/export features.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",(No public email - phone first; see Short Phone Script),"No public email address found. Use the Short Phone Script to reach the volunteer/foster coordinator, ask for a direct email, then send the matching segment template.","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Front Street Animal Shelter / City of Sacramento Animal Care Services handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Front Street Animal Shelter / City of Sacramento Animal Care Services coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,Sacramento SPCA,nonprofit shelter/rescue,Main: (916) 383-7387; Volunteer Supervisor: (916) 504-2807; Adoptions: (916) 504-2854; Intake: (916) 504-2851,online contact form; staff emails public,"6201 Florin Perkins Road, Sacramento, CA 95828",https://www.sspca.org/,"Jennifer Brent, CEO, jbrent@sspca.org, (916) 504-2806; Rayla Maier, Volunteer Senior Manager, rmaier@sspca.org, (916) 504-2807; Lisa Shemenski, Adoptions Manager, lshemenski@sspca.org, (916) 504-2859",https://www.sspca.org/contact-us; https://www.sspca.org/staff,,High,"Jennifer Brent, CEO, jbrent@sspca.org, (916) 504-2806; Rayla Maier, Volunteer Senior Manager, rmaier@sspca.org, (916) 504-2807; Lisa Shemenski, Adoptions Manager, lshemenski@sspca.org, (916) 504-2859",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Website contact form first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Nonprofit shelter / humane society,"Volunteer intake, adoption-event staffing, foster coordination, training/credential tracking, and funder/board-ready reports.","Volunteer applications, custom screening questions, adoption-event shifts, attendance, training credentials, and grant-ready reporting.","Lead with founder-led free setup; mention Pro if they need background checks, CSV exports, ESG/reporting, or unlimited opportunities.",A faster way to handle SPCA volunteer intake,"Hi Jennifer,

I'm Jason, founder of VolunteerReady. The Sacramento SPCA runs one of the busier volunteer and foster programs in the region, which usually means a lot of coordination spread across inboxes and spreadsheets.

VolunteerReady keeps applications, shift sign-ups, and attendance in one place, so your team can spend less time on logistics and more on volunteers and animals.

It's free to start (no credit card), and I help organizations get set up personally. Could I borrow 15 minutes to learn how your program runs today?

My calendar's here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for all you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Sacramento SPCA handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Sacramento SPCA coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,Happy Tails Pet Sanctuary,nonprofit rescue/sanctuary,(916) 497-8989,purrball@happytails.org,"Adoption Center: 6001 Folsom Blvd., Sacramento, CA 95819",https://www.happytails.org/,"Cid Van Koersel, Volunteer Coordinator; Ana Cotham, E-mail Responses; Aria Galletti, Adoption Follow-Up; Kevin Ward, Media/Public Relations",https://www.happytails.org/contact-us,,High,"Cid Van Koersel, Volunteer Coordinator; Ana Cotham, E-mail Responses; Aria Galletti, Adoption Follow-Up; Kevin Ward, Media/Public Relations",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Animal sanctuary,"Recurring chore shifts, volunteer reliability, training requirements, attendance history, and impact reporting for supporters.","Recurring shift scheduling, attendance tracking, onboarding/training credentials, and simple proof of volunteer hours.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Coordinating sanctuary shifts in one place,"Hi there,

I'm Jason, founder of VolunteerReady. Sanctuaries have a different rhythm than shelters: the same animals every day, which means regular volunteer shifts for feeding, cleaning, and care that someone has to keep staffed.

VolunteerReady lets volunteers see open shifts and sign up themselves, and shows you attendance at a glance, so Happy Tails isn't rebuilding the schedule every week.

Free to start, no credit card, and I'll set your team up myself. Could I get 15 minutes to hear how you handle your volunteer rotation now?

My calendar's here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the care you give,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Happy Tails handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Happy Tails Pet Sanctuary coordinate volunteers/fosters. Open to a quick 15-minute chat?"
phone_first,Sacramento,Cats About Town Society,nonprofit rescue,(916) 224-1117,suna@catsabouttown.org found on site event/contact text; general email otherwise unknown,"P.O. Box 341013, Sacramento, CA 95834-8913",https://catsabouttown.org/,unknown,https://catsabouttown.org/category/featured/,,Medium,"Founder/director, foster coordinator, volunteer coordinator, or adoption coordinator",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Phone first; ask for volunteer/foster/rescue coordinator email,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Cat rescue / foster network,"Foster applications, adoption-event volunteers, transport/TNR helpers, onboarding status, and keeping a distributed volunteer base organized.","Foster/volunteer intake forms, TNR/adoption-event shifts, portable credentials for trained volunteers, and centralized follow-up.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Keeping fosters and TNR volunteers organized,"Hi there,

I'm Jason, founder of VolunteerReady. Cat rescues tend to have the trickiest coordination problem: lots of fosters and TNR volunteers spread out, and no single place to see who's covering what.

VolunteerReady puts foster and volunteer intake, sign-ups for clinics and adoption events, and follow-up in one place, so Cats About Town isn't tracking it all by text and memory.

Free to start, no credit card, and I'll set your team up myself. I'm connecting with a few Sacramento County rescues this month. Could I get 15 minutes to hear how you run things?

Grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Cats About Town handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Cats About Town Society coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,LapCats,nonprofit foster-based cat rescue,unknown,info@lapcats.org,"8359 Elk Grove Florin Rd. #103-308, Sacramento, CA 95829",https://www.lapcats.org/,"Barbara, founder; Leslie, board secretary; Glen, board member",https://www.lapcats.org/contact; https://www.lapcats.org/our-team,Not a public surrender shelter,Medium,"Barbara, founder; Leslie, board secretary; Glen, board member",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Cat rescue / foster network,"Foster applications, adoption-event volunteers, transport/TNR helpers, onboarding status, and keeping a distributed volunteer base organized.","Foster/volunteer intake forms, TNR/adoption-event shifts, portable credentials for trained volunteers, and centralized follow-up.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Keeping LapCats' fosters and volunteers organized,"Hi Barbara,

I'm Jason, founder of VolunteerReady. Cat rescues like LapCats usually have the trickiest coordination: fosters and volunteers spread all over, and no single place to see who's covering what.

VolunteerReady puts foster and volunteer intake, sign-ups for adoption events, and follow-up in one place, so it's not all living in texts and your memory.

Free to start, no credit card, and I'll set you up myself. Could I get 15 minutes to hear how you coordinate fosters and events now?

Grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how LapCats handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like LapCats coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,Chako Pit Bull Rescue,nonprofit dog rescue,Main: (916) 534-8608; Adoptions: (916) 432-3678; Fax: (866) 609-3632,dogs@chako.org; adoptions@chako.org; development@chako.org; events@chako.org; foster@chako.org; volunteer@chako.org,"PO Box 348643, Sacramento, CA 95834",https://www.chako.org/,Adoptions Coordinator; Development Coordinator; Events Coordinator; Foster Coordinator; Volunteer Coordinator,https://www.chako.org/contact.html,Role-based contacts; names not public on contact page,High,Adoptions Coordinator; Development Coordinator; Events Coordinator; Foster Coordinator; Volunteer Coordinator,(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Dog rescue / foster network,"Foster screening, handler/transport volunteers, event staffing, background-check readiness, and tracking who is cleared for sensitive roles.","Foster and handler screening, role-specific credentials, adoption-event shifts, and background-check readiness for higher-risk roles.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.","A simpler setup for fosters, transport, and events","Hi there,

I'm Jason, founder of VolunteerReady. Foster-based dog rescues live and die by coordination: who's fostering, who can transport, who's covering the next adoption event.

VolunteerReady keeps volunteer and foster intake, scheduling, and attendance in one place, so Chako can fill those slots without chasing people down.

It's free to start, no credit card, and I'll get you set up personally. Could I grab 15 minutes to learn how you coordinate fosters and events today?

Here's my calendar: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for what you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Chako handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Chako Pit Bull Rescue coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,NorCal Bully Breed Rescue,nonprofit rescue,unknown,norcalbullybreedrescue@gmail.com,"Serving Sacramento, CA & surrounding areas; physical/mailing address unknown",https://www.norcalbullybreedrescue.org/,unknown,https://www.norcalbullybreedrescue.org/,,Medium,"Founder/director, foster coordinator, volunteer coordinator, or adoption coordinator",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Dog rescue / foster network,"Foster screening, handler/transport volunteers, event staffing, background-check readiness, and tracking who is cleared for sensitive roles.","Foster and handler screening, role-specific credentials, adoption-event shifts, and background-check readiness for higher-risk roles.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.","A simpler setup for fosters, transport, and events","Hi there,

I'm Jason, founder of VolunteerReady. Foster-based dog rescues live and die by coordination: who's fostering, who can transport, who's covering the next adoption event.

VolunteerReady keeps volunteer and foster intake, scheduling, and attendance in one place, so NorCal Bully Breed Rescue can fill those slots without chasing people down.

It's free to start, no credit card, and I'll get you set up personally. Could I grab 15 minutes to learn how you coordinate fosters and events today?

Here's my calendar: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for what you do,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how NorCal Bully Breed Rescue handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like NorCal Bully Breed Rescue coordinate volunteers/fosters. Open to a quick 15-minute chat?"
ready,Sacramento,Itsie Bitsie Rescue,nonprofit kitten/cat rescue,(916) 705-6884,info@itsiebitsierescue.org,"Mail: PO Box 1989, Orangevale, CA 95662; adoption location: PetSmart Adoption Center, 10363 Fairway Dr, Roseville, CA 95678",https://itsiebitsierescue.org/,unknown,https://itsiebitsierescue.org/contact-us/,,Medium,"Founder/director, foster coordinator, volunteer coordinator, or adoption coordinator",(internal note - not customer-facing),(superseded - use Tailored Subject Line + Tailored Email Draft),Email first; call after 3-5 business days if no response,Follow up once after 3-5 business days; second follow-up after 10-14 days if strong fit,Cat rescue / foster network,"Foster applications, adoption-event volunteers, transport/TNR helpers, onboarding status, and keeping a distributed volunteer base organized.","Foster/volunteer intake forms, TNR/adoption-event shifts, portable credentials for trained volunteers, and centralized follow-up.","Lead with Free plan/no credit card; position Starter/Pro only if they need more than 3 opportunities, matching, background checks, or exports.",Keeping fosters and TNR volunteers organized,"Hi there,

I'm Jason, founder of VolunteerReady. Cat rescues tend to have the trickiest coordination problem: lots of fosters and TNR volunteers spread out, and no single place to see who's covering what.

VolunteerReady puts foster and volunteer intake, sign-ups for clinics and adoption events, and follow-up in one place, so Itsie Bitsie isn't tracking it all by text and memory.

Free to start, no credit card, and I'll set your team up myself. I'm connecting with a few Sacramento County rescues this month. Could I get 15 minutes to hear how you run things?

Grab a time here: https://calendar.app.google/yvbL6zwB2imBKXms9

Thanks for the work,
Jason Shultz
Founder, VolunteerReady
volunteerready.org","Hi, this is Jason with VolunteerReady. I build software that helps animal shelters and rescues coordinate volunteers and fosters in one place instead of inboxes and spreadsheets. Who's the best person to talk to about volunteer coordination? There's a free plan and I help set teams up personally. I'd love 15 minutes to hear how Itsie Bitsie handles it today.","Hi — I’m Jason, founder of VolunteerReady. We help nonprofits manage volunteer intake, screening, shifts, attendance, audit-ready records, and credentials. I’m talking with animal welfare organizations to learn how teams like Itsie Bitsie Rescue coordinate volunteers/fosters. Open to a quick 15-minute chat?"
